side,order_index,order_id,owner_account_index,initial_base_amount,remaining_base_amount,price,order_expiry,transaction_time
ask,281477352317637,281477352317637,702389,1.8835,1.8835,1565.93,1782832174954,0
ask,281477352317639,281477352317639,66984,0.1963,0.1963,1565.93,1785164974956,0
ask,281477352317596,281477352317596,726722,6.3707,1.8739,1565.94,1785164974817,0
ask,281477352317604,281477352317604,726722,4.7894,4.7894,1565.94,1785164974825,0
ask,281477352317628,281477352317628,415255,0.3759,0.3759,1565.94,1785164974876,0
ask,281477352317585,281477352317585,37359,0.5748,0.5748,1565.95,1785164974803,0
ask,281477352317632,281477352317632,281474976529902,1.277,1.277,1565.95,1782746373894,0
ask,281477352317593,281477352317593,281474976624611,0.0639,0.0639,1565.97,1785164974821,0
ask,281477352317589,281477352317589,726722,6.3707,6.3707,1565.98,1785164974807,0
ask,281477352317592,281477352317592,726722,4.7894,4.7894,1565.98,1785164974816,0
ask,281477352317597,281477352317597,708516,1.2,1.2,1566.01,1785164974820,0
ask,281477352317605,281477352317605,268927,3.6867,3.6867,1566.01,1785164974826,0
ask,281477352317633,281477352317633,724216,114.0663,114.0663,1566.03,1785164974946,0
ask,281477352317573,281477352317573,702389,242.399,242.399,1566.04,1782832174667,0
ask,281477352317594,281477352317594,281474976624610,0.0639,0.0639,1566.05,1785164974821,0
ask,281477352317541,281477352317541,37359,0.5747,0.5747,1566.07,1785164974563,0
ask,281477352317640,281477352317640,268998,0.4829,0.4829,1566.07,1785164974973,0
ask,281477352317562,281477352317562,708287,0.4,0.4,1566.08,1785164974628,0
ask,281477352317614,281477352317614,281474976708492,127.8142,127.8142,1566.1,1782746079853,0
ask,281477352317610,281477352317610,102394,7.669,7.669,1566.11,1785164974833,0
ask,281477352317615,281477352317615,724216,114.0663,114.0663,1566.11,1785164974856,0
ask,281477352317638,281477352317638,281474976618239,5.0992,5.0992,1566.11,1785337774954,0
ask,281477352317566,281477352317566,281474976625082,1.0,1.0,1566.12,1785164974649,0
ask,281477352317601,281477352317601,277239,4.6739,4.6739,1566.13,1785164974819,0
ask,281477352317486,281477352317486,708287,0.4,0.4,1566.16,1785164973914,0
ask,281477352316709,281477352316709,708516,1.2,1.2,1566.17,1785164972100,0
ask,281477352316437,281477352316437,433673,0.762,0.762,1566.18,1785164971127,0
ask,281477352317619,281477352317619,415255,0.624,0.624,1566.18,1785164974860,0
ask,281477352317449,281477352317449,37359,0.5747,0.5747,1566.19,1785164973513,0
ask,281477352317580,281477352317580,281474976639642,9.3621,9.3621,1566.19,1782747574733,0
ask,281477352317583,281477352317583,724216,114.0663,114.0663,1566.19,1785164974768,0
ask,281477352317426,281477352317426,405228,24.999,24.999,1566.19,1785164973187,0
ask,281477352316431,281477352316431,317068,1.2582,1.2582,1566.2,1785164971083,0
ask,281477352277360,281477352277360,281474976624097,4.0,4.0,1566.22,1785337548048,0
ask,281477352277329,281477352277329,281474976624245,2.0,2.0,1566.23,1785337547942,0
ask,281477352317590,281477352317590,220807,0.5754,0.5754,1566.25,1785337774818,0
ask,281477352317542,281477352317542,724216,114.0663,114.0663,1566.26,1785164974564,0
ask,281477352317285,281477352317285,708287,0.4,0.4,1566.27,1785164973103,0
ask,281477352315102,281477352315102,37359,0.5746,0.5746,1566.31,1785164963949,0
ask,281477352316664,281477352316664,433672,1.4287,1.4287,1566.32,1785164971475,0
ask,281477352317529,281477352317529,724216,114.0663,114.0663,1566.33,1785164974324,0
ask,281477352315975,281477352315975,281474976644047,2.8447,2.8447,1566.34,1785164967818,0
ask,281477352316680,281477352316680,102394,15.339,15.339,1566.38,1785164971565,0
ask,281477352317622,281477352317622,699714,34.8998,34.8998,1566.39,1785164974869,0
ask,281477352317515,281477352317515,724216,114.0663,114.0663,1566.4,1785164974190,0
ask,281477352307009,281477352307009,37359,0.5746,0.5746,1566.44,1785164914557,0
ask,281477352316839,281477352316839,713041,0.5395,0.5395,1566.44,1785164972163,0
ask,281477352317582,281477352317582,317087,0.8469,0.8469,1566.45,1785164974756,0
ask,281477352316663,281477352316663,433672,1.4287,1.4287,1566.46,1785164971472,0
ask,281477352316440,281477352316440,317087,2.545,2.545,1566.47,1785164971142,0
ask,281477352317305,281477352317305,713044,1.7873,1.7873,1566.5,1785164973102,0
ask,281477352317369,281477352317369,713043,1.8599,1.8599,1566.51,1785164973150,0
ask,281477352315073,281477352315073,724216,114.0663,114.0663,1566.53,1785164963942,0
ask,281477352316921,281477352316921,314236,3.8327,3.8327,1566.54,1785164972212,0
ask,281477352307026,281477352307026,37359,0.5746,0.5746,1566.56,1785164914752,0
ask,281477352317095,281477352317095,281474976624315,47.0465,47.0465,1566.58,1785164972308,0
ask,281477352317269,281477352317269,713041,0.4882,0.4882,1566.59,1785164973093,0
ask,281477352316667,281477352316667,281474976624315,7.131,7.131,1566.62,1785164971488,0
ask,281477352316721,281477352316721,281474976625082,1.0,1.0,1566.64,1785164972103,0
ask,281477352316688,281477352316688,102394,38.349,38.349,1566.65,1785164971595,0
ask,281477352315088,281477352315088,724216,114.0663,114.0663,1566.66,1785164963942,0
ask,281477352307093,281477352307093,37359,0.5745,0.5745,1566.68,1785164914865,0
ask,281477352317565,281477352317565,90364,35.964,35.964,1566.68,1782746075628,0
ask,281477352316670,281477352316670,415255,0.8913,0.8913,1566.69,1785164971495,0
ask,281477352316677,281477352316677,102394,57.523,57.523,1566.7,1785164971535,0
ask,281477352316870,281477352316870,433672,1.4287,1.4287,1566.7,1785164972179,0
ask,281477352317626,281477352317626,304842,126.142,126.142,1566.72,1782746079884,0
ask,281477352317343,281477352317343,270812,3.6576,3.6576,1566.73,1785164973131,0
ask,281477352273351,281477352273351,718516,0.0077,0.0077,1566.74,1785164727202,0
ask,281477352312181,281477352312181,699714,19.6304,19.6304,1566.74,1785164947804,0
ask,281477352317553,281477352317553,726314,2.006,2.006,1566.74,1785164974575,0
ask,281477352317584,281477352317584,33999,126.2463,126.2463,1566.75,1782746079775,0
ask,281477352315087,281477352315087,724216,114.0663,114.0663,1566.79,1785164963942,0
ask,281477352315076,281477352315076,37359,0.5745,0.5745,1566.8,1785164963941,0
ask,281477352316920,281477352316920,314236,11.4981,11.4981,1566.82,1785164972210,0
ask,281477352317234,281477352317234,68785,4.7867,4.7867,1566.82,1785164972539,0
ask,281477352316869,281477352316869,433672,1.4287,1.4287,1566.84,1785164972176,0
ask,281477352317123,281477352317123,304840,126.142,126.142,1566.87,1782746077323,0
ask,281477352315419,281477352315419,724216,114.0663,114.0663,1566.91,1785164964179,0
ask,281477352317389,281477352317389,317068,3.7517,3.7517,1566.91,1785164973158,0
ask,281477352317420,281477352317420,713043,14.9161,14.9161,1566.91,1785164973175,0
ask,281477352315074,281477352315074,37359,0.5744,0.5744,1566.92,1785164963941,0
ask,281477352317423,281477352317423,713044,16.6952,16.6952,1566.94,1785164973181,0
ask,281477352312795,281477352312795,102394,69.047,69.047,1566.95,1785164950584,0
ask,281477352317404,281477352317404,255926,150.0,150.0,1566.96,1785164973166,0
ask,281477352311493,281477352311493,724216,114.0663,114.0663,1566.98,1785164946583,0
ask,281477352315107,281477352315107,11927,2.6473,2.6473,1566.98,1785164963951,0
ask,281477352317568,281477352317568,363838,25.0,25.0,1566.99,1785164974652,0
ask,281477352317425,281477352317425,713041,1.3892,1.3892,1567.01,1785164973178,0
ask,281477352317419,281477352317419,270812,3.6576,3.6576,1567.02,1785164973176,0
ask,281477352316443,281477352316443,317087,5.13,5.13,1567.05,1785164971176,0
ask,281477352316924,281477352316924,281474976624298,145.1294,145.1294,1567.08,1785164972217,0
ask,281477352311499,281477352311499,724216,114.0663,114.0663,1567.11,1785164946609,0
ask,281477352316438,281477352316438,317068,7.5033,7.5033,1567.11,1785164971132,0
ask,281477352317634,281477352317634,363838,30.0,30.0,1567.13,1785164974939,0
ask,281477352317294,281477352317294,433673,6.8576,6.8576,1567.16,1785164973102,0
ask,281477352317416,281477352317416,193411,15.0,15.0,1567.23,1785164973175,0
ask,281477352316300,281477352316300,724216,114.0663,114.0663,1567.24,1785164970293,0
ask,281477352278984,281477352278984,496811,0.734,0.734,1567.33,1785164750474,0
ask,281477352316700,281477352316700,90364,75.0594,75.0594,1567.34,1782746073001,0
bid,562947481954820,562947481954820,726722,6.3707,6.3707,1565.6,1785164974956,0
bid,562947481954818,562947481954818,702389,15.6092,15.6092,1565.6,1782832174964,0
bid,562947481954817,562947481954817,702389,3.9195,3.9195,1565.6,1782832174964,0
bid,562947481954832,562947481954832,702389,215.4953,215.4953,1565.59,1782832174907,0
bid,562947481954829,562947481954829,726722,6.3707,6.3707,1565.59,1785164974919,0
bid,562947481954827,562947481954827,281474976529902,1.2774,1.2774,1565.59,1782746373919,0
bid,562947481954822,562947481954822,281474976639642,9.3628,9.3628,1565.59,1782747574937,0
bid,562947481955145,562947481955145,433673,0.762,0.762,1565.58,1785164971422,0
bid,562947481955143,562947481955143,713044,1.567,1.567,1565.58,1785164971433,0
bid,562947481955141,562947481955141,708516,1.2,1.2,1565.58,1785164971444,0
bid,562947481955119,562947481955119,102394,7.669,7.669,1565.57,1785164971535,0
bid,562947481954846,562947481954846,726314,0.35,0.35,1565.57,1785164974856,0
bid,562947481954816,562947481954816,268927,6.0427,6.0427,1565.57,1785164974968,0
bid,562947481954942,562947481954942,90364,3.85,3.85,1565.56,1782746074936,0
bid,562947481954844,562947481954844,726314,3.0889,3.0889,1565.56,1785164974856,0
bid,562947481954863,562947481954863,281474976624610,0.0639,0.0639,1565.53,1785164974821,0
bid,562947481954813,562947481954813,724216,114.0663,114.0663,1565.53,1785164975002,0
bid,562947481954840,562947481954840,699714,115.3551,115.3551,1565.52,1785164974879,0
bid,562947481954862,562947481954862,281474976624611,0.0639,0.0639,1565.5,1785164974821,0
bid,562947481954830,562947481954830,708287,0.4,0.4,1565.5,1785164974915,0
bid,562947481954819,562947481954819,90364,9.9,9.9,1565.5,1782746075945,0
bid,562947481954848,562947481954848,281474976708492,127.8142,127.8142,1565.49,1782746079860,0
bid,562947481954841,562947481954841,281474976618239,5.0992,5.0992,1565.49,1785337774877,0
bid,562947481955183,562947481955183,37359,0.575,0.575,1565.48,1785164971324,0
bid,562947481954869,562947481954869,281474976639642,9.3621,9.3621,1565.45,1782747574733,0
bid,562947481954849,562947481954849,268927,6.1802,6.1802,1565.44,1785164974848,0
bid,562947481954814,562947481954814,724216,114.0663,114.0663,1565.43,1785164975002,0
bid,562947481955180,562947481955180,708516,1.2,1.2,1565.42,1785164971329,0
bid,562947481954997,562947481954997,713041,0.4791,0.4791,1565.39,1785164973149,0
bid,562947481954831,562947481954831,268998,0.8553,0.8553,1565.39,1785164974842,0
bid,562947481954868,562947481954868,220807,3.4246,3.4246,1565.38,1785337774803,0
bid,562947481955095,562947481955095,433672,1.4287,1.4287,1565.37,1785164972137,0
bid,562947481954853,562947481954853,268927,6.1074,6.1074,1565.36,1785164974842,0
bid,562947481955278,562947481955278,37359,0.575,0.575,1565.35,1785164970638,0
bid,562947481954889,562947481954889,314236,3.9865,3.9865,1565.35,1785164974605,0
bid,562947481955148,562947481955148,30323,18.45,18.45,1565.34,1785164971384,0
bid,562947481954836,562947481954836,277239,4.7755,4.7755,1565.34,1785164974855,0
bid,562947481954821,562947481954821,281474976639642,9.3628,9.3628,1565.34,1782747574937,0
bid,562947481955139,562947481955139,102394,15.339,15.339,1565.33,1785164971455,0
bid,562947481954874,562947481954874,724216,114.0663,114.0663,1565.33,1785164974660,0
bid,562947481954986,562947481954986,713041,0.4791,0.4791,1565.3,1785164973184,0
bid,562947482104066,562947482104066,281474976624245,2.0,2.0,1565.3,1785336972610,0
bid,562947481954872,562947481954872,317087,0.8167,0.8167,1565.29,1785164974691,0
bid,562947481954856,562947481954856,415255,0.3704,0.3704,1565.29,1785164974826,0
bid,562947481955205,562947481955205,281474976656674,2.5,2.5,1565.28,1785164971250,0
bid,562947481955091,562947481955091,636906,2.5334,2.5334,1565.28,1785164972111,0
bid,562947481954845,562947481954845,268998,0.948,0.948,1565.28,1785164974855,0
bid,562947481955266,562947481955266,708516,1.2,1.2,1565.26,1785164970773,0
bid,562947481955255,562947481955255,724216,114.0663,114.0663,1565.25,1785164970820,0
bid,562947481954828,562947481954828,317068,1.2454,1.2454,1565.24,1785164974915,0
bid,562947481955327,562947481955327,37359,0.575,0.575,1565.23,1785164970484,0
bid,562947481955087,562947481955087,433672,1.4287,1.4287,1565.23,1785164972185,0
bid,562947481954945,562947481954945,304840,126.142,126.142,1565.23,1782746078927,0
bid,562947481954815,562947481954815,363838,25.0,25.0,1565.23,1785164974987,0
bid,562947481954888,562947481954888,415255,0.5921,0.5921,1565.22,1785164974621,0
bid,562947482842184,562947482842184,281474976624097,4.0,4.0,1565.22,1785333934385,0
bid,562947481954826,562947481954826,713043,1.6189,1.6189,1565.17,1785164974919,0
bid,562947481955284,562947481955284,724216,114.0663,114.0663,1565.16,1785164970577,0
bid,562947481955067,562947481955067,281474976624315,47.0465,47.0465,1565.13,1785164972307,0
bid,562947481955015,562947481955015,314236,11.724,11.724,1565.11,1785164973102,0
bid,562947481955346,562947481955346,37359,0.5751,0.5751,1565.1,1785164970352,0
bid,562947481955334,562947481955334,708516,1.2,1.2,1565.09,1785164970461,0
bid,562947481955088,562947481955088,433672,1.4287,1.4287,1565.09,1785164972183,0
bid,562947481955097,562947481955097,415255,0.9287,0.9287,1565.06,1785164972122,0
bid,562947481955349,562947481955349,724216,114.0663,114.0663,1565.05,1785164970339,0
bid,562947481954989,562947481954989,713044,15.1916,15.1916,1565.05,1785164973183,0
bid,562947481954864,562947481954864,304842,126.142,126.142,1565.04,1782746079817,0
bid,562947481954985,562947481954985,713043,14.7656,14.7656,1565.03,1785164973201,0
bid,562947481955393,562947481955393,37359,0.5751,0.5751,1564.98,1785164970203,0
bid,562947481955216,562947481955216,102394,38.348,38.348,1564.97,1785164971104,0
bid,562947481954987,562947481954987,713041,1.4372,1.4372,1564.97,1785164973182,0
bid,562947481955335,562947481955335,281474976656674,2.5,2.5,1564.96,1785164970458,0
bid,562947481955149,562947481955149,102394,57.523,57.523,1564.96,1785164971384,0
bid,562947481955089,562947481955089,433672,1.4287,1.4287,1564.96,1785164972181,0
bid,562947481954991,562947481954991,270812,3.6587,3.6587,1564.96,1785164973177,0
bid,562947481954893,562947481954893,636906,1.2966,1.2966,1564.95,1785164974588,0
bid,562947481955348,562947481955348,724216,114.0663,114.0663,1564.93,1785164970339,0
bid,562947481954860,562947481954860,33999,126.2463,126.2463,1564.93,1782746079822,0
bid,562947481954823,562947481954823,363838,30.0,30.0,1564.92,1785164974939,0
bid,562947481955107,562947481955107,90364,35.6518,35.6518,1564.9,1782746072991,0
bid,562947481955528,562947481955528,37359,0.5752,0.5752,1564.86,1785164969148,0
bid,562947481955213,562947481955213,317068,3.7362,3.7362,1564.81,1785164971135,0
bid,562947481955086,562947481955086,281474976624298,145.1294,145.1294,1564.8,1785164972216,0
bid,562947481955359,562947481955359,724216,114.0663,114.0663,1564.79,1785164970286,0
bid,562947481955125,562947481955125,281474976624315,7.131,7.131,1564.75,1785164971487,0
bid,562947481958626,562947481958626,37359,0.5752,0.5752,1564.74,1785164946407,0
bid,562947481955211,562947481955211,317087,2.5146,2.5146,1564.73,1785164971146,0
bid,562947481955437,562947481955437,724216,114.0663,114.0663,1564.72,1785164969534,0
bid,562947481956266,562947481956266,724216,114.0663,114.0663,1564.65,1785164964552,0
bid,562947481954988,562947481954988,713041,1.4372,1.4372,1564.63,1785164973180,0
bid,562947481958681,562947481958681,37359,0.5753,0.5753,1564.62,1785164945777,0
bid,562947481958603,562947481958603,281474976656674,2.5,2.5,1564.62,1785164946579,0
bid,562947481955178,562947481955178,699714,64.9377,64.9377,1564.61,1785164971329,0
bid,562947481955457,562947481955457,651486,0.3195,0.3195,1564.6,1782746070294,0
bid,562947481955049,562947481955049,281474976639642,28.0842,28.0842,1564.56,1782747572489,0
bid,562947481956259,562947481956259,724216,114.0663,114.0663,1564.52,1785164964557,0
bid,562947481954982,562947481954982,68785,4.7938,4.7938,1564.51,1785164973280,0
bid,562947481954994,562947481954994,433672,5.7146,5.7146,1564.48,1785164973157,0
bid,562947481958837,562947481958837,37359,0.5753,0.5753,1564.47,1785164944397,0
bid,562947481954834,562947481954834,405228,25.0,25.0,1564.47,1785164974889,0
